Station,Date,Time,Replicate,Temp(deg C),Conductivity_uS,Salinity_PSU,TDS(mg/L),HDO(mg/L),HDO %,pH,Depth,Field_Chl_a,Lab_Chl_a,correction,,mb,125,8,1,0.06,0.00384
FHR,6/10/2024,10:07,1,31.87,40220,25.5,25740,5.52,86.7,7.18,0.32,41.09,6.29,6.532591415,,SR64a,125,8,1,139.79,8.94656
FHR,6/10/2024,10:07,1,31.87,40220,25.5,25740,5.52,86.7,7.18,0.32,41.09,8.42,4.880047506,,SR64b,125,8,1,130.65,8.3616
FHR,6/10/2024,10:08,2,31.93,40060,25.39,25640,5.1,80,7.22,0.3,40.9,6.29,6.502384738,,Sr54c,125,8,1,143.38,9.17632
FHR,6/10/2024,10:08,2,31.93,40060,25.39,25640,5.1,80,7.22,0.3,40.9,8.42,4.857482185,,FHRa,125,8,1,877.72,56.17408
FHR,6/10/2024,10:08,3,31.87,40290,25.55,25790,4.86,76.3,7.22,0.24,35.41,6.29,5.629570747,,FHRb,125,8,1,716.08,45.82912
FHR,6/10/2024,10:08,3,31.87,40290,25.55,25790,4.86,76.3,7.22,0.24,35.41,8.42,4.205463183,,FHRc,125,8,1,888.93,56.89152
FHR,6/10/2024,10:09,4,31.93,40130,25.44,25680,4.78,75.1,7.22,0.26,37.63,6.29,5.982511924,,,,,,,
FHR,6/10/2024,10:09,4,31.93,40130,25.44,25680,4.78,75.1,7.22,0.26,37.63,8.42,4.46912114,,,,,,,
RYE,6/10/2024,10:30,1,30.49,8039,4.41,5144,6.9,94.4,7.59,0.01,66.48,7.86,8.458015267,,,,,,,
RYE,6/10/2024,10:30,1,30.49,8039,4.41,5144,6.9,94.4,7.59,0.01,66.48,7.59,8.758893281,,,,,,,
RYE,6/10/2024,10:31,2,30.72,8107,4.45,5189,6.11,83.9,7.4,0.02,66.77,7.86,8.494910941,,,,,,,
RYE,6/10/2024,10:31,2,30.72,8107,4.45,5189,6.11,83.9,7.4,0.02,66.77,7.59,8.797101449,,,,,,,
RYE,6/10/2024,10:31,3,30.7,8090,4.44,5178,6.02,82.6,7.37,0.02,67.68,7.86,8.610687023,,,,,,,
RYE,6/10/2024,10:31,3,30.7,8090,4.44,5178,6.02,82.6,7.37,0.02,67.68,7.59,8.916996047,,,,,,,
RYE,6/10/2024,10:31,4,30.67,8002,4.39,5121,5.81,79.6,7.36,0.02,68.63,7.86,8.731552163,,,,,,,
RYE,6/10/2024,10:31,4,30.67,8002,4.39,5121,5.81,79.6,7.36,0.02,68.63,7.59,9.042160738,,,,,,,
SR64,6/12/2024,10:47,1,29.84,45370,29.24,29040,6.06,94,7.46,0.29,11.94,3.58,3.335195531,,,,,,,
SR64,6/12/2024,10:47,1,29.84,45370,29.24,29040,6.06,94,7.46,0.29,11.94,3.28,3.640243902,,,,,,,
SR64,6/12/2024,10:48,2,29.87,45440,29.28,29080,5.25,81.5,7.4,0.28,13.32,3.58,3.720670391,,,,,,,
SR64,6/12/2024,10:48,2,29.87,45440,29.28,29080,5.25,81.5,7.4,0.28,13.32,3.28,4.06097561,,,,,,,
SR64,6/12/2024,10:49,3,29.88,45490,29.32,29110,4.64,72.1,7.37,0.28,13.27,3.58,3.706703911,,,,,,,
SR64,6/12/2024,10:49,3,29.88,45490,29.32,29110,4.64,72.1,7.37,0.28,13.27,3.28,4.045731707,,,,,,,
SR64,6/12/2024,10:49,4,29.88,45520,29.34,29130,4.34,67.3,7.36,0.25,12.71,3.58,3.55027933,,,,,,,
SR64,6/12/2024,10:49,4,29.88,45520,29.34,29130,4.34,67.3,7.36,0.25,12.71,3.28,3.875,,,,,,,
FHR,6/12/2024,11:25,1,30.28,31570,19.54,20210,6.77,100.3,7.57,0.28,41.56,14.5,2.866206897,,,,,,,
FHR,6/12/2024,11:25,1,30.28,31570,19.54,20210,6.77,100.3,7.57,0.28,41.56,13.3,3.12481203,,,,,,,
FHR,6/12/2024,11:26,2,30.27,31390,19.41,20090,5.56,82.2,7.3,0.3,43.64,14.5,3.009655172,,,,,,,
FHR,6/12/2024,11:26,2,30.27,31390,19.41,20090,5.56,82.2,7.3,0.3,43.64,13.3,3.281203008,,,,,,,
FHR,6/12/2024,11:26,3,30.26,31460,19.46,20140,5.01,74.1,7.26,0.3,46.05,14.5,3.175862069,,,,,,,
FHR,6/12/2024,11:26,3,30.26,31460,19.46,20140,5.01,74.1,7.26,0.3,46.05,13.3,3.462406015,,,,,,,
FHR,6/12/2024,11:27,4,30.29,31430,19.44,20110,4.71,69.7,7.23,0.24,40.82,14.5,2.815172414,,,,,,,
FHR,6/12/2024,11:27,4,30.29,31430,19.44,20110,4.71,69.7,7.23,0.24,40.82,13.3,3.069172932,,,,,,,
RYE,6/12/2024,11:50,1,29.42,458.6,0.22,293.5,7.68,100.7,8.38,0.02,41.85,20.2,2.071782178,,,,,,,
RYE,6/12/2024,11:50,1,29.42,458.6,0.22,293.5,7.68,100.7,8.38,0.02,41.85,17.9,2.337988827,,,,,,,
RYE,6/12/2024,11:51,2,29.43,446.1,0.21,285.5,7.56,99.1,8.08,0.02,32.56,20.2,1.611881188,,,,,,,
RYE,6/12/2024,11:51,2,29.43,446.1,0.21,285.5,7.56,99.1,8.08,0.02,32.56,17.9,1.818994413,,,,,,,
RYE,6/12/2024,11:52,3,29.4,450.3,0.21,288.2,7.6,99.6,7.98,0.02,35.23,20.2,1.744059406,,,,,,,
RYE,6/12/2024,11:52,3,29.4,450.3,0.21,288.2,7.6,99.6,7.98,0.02,35.23,17.9,1.968156425,,,,,,,
RYE,6/12/2024,11:52,4,29.39,448.7,0.21,287.2,7.62,99.9,7.96,0.02,31.76,20.2,1.572277228,,,,,,,
RYE,6/12/2024,11:52,4,29.39,448.7,0.21,287.2,7.62,99.9,7.96,0.02,31.76,17.9,1.774301676,,,,,,,
EMP,6/13/2024,10:52,1,31.78,53890,35.4,34490,6.86,113.4,7.26,0.05,20.86,10.8,1.931481481,,,,,,,
EMP,6/13/2024,10:52,1,31.78,53890,35.4,34490,6.86,113.4,7.26,0.05,20.86,11,1.896363636,,,,,,,
EMP,6/13/2024,10:53,2,31.92,53940,35.43,34520,7.04,116.6,7.84,0.09,23.72,10.8,2.196296296,,,,,,,
EMP,6/13/2024,10:53,2,31.92,53940,35.43,34520,7.04,116.6,7.84,0.09,23.72,11,2.156363636,,,,,,,
EMP,6/13/2024,10:53,3,31.76,53910,35.41,34500,7.18,118.6,7.88,0.08,25.4,10.8,2.351851852,,,,,,,
EMP,6/13/2024,10:53,3,31.76,53910,35.41,34500,7.18,118.6,7.88,0.08,25.4,11,2.309090909,,,,,,,
EMP,6/13/2024,10:53,4,31.69,53970,35.46,34540,7.28,120.2,7.87,0.06,27.22,10.8,2.52037037,,,,,,,
EMP,6/13/2024,10:53,4,31.69,53970,35.46,34540,7.28,120.2,7.87,0.06,27.22,11,2.474545455,,,,,,,
PBR,6/13/2024,11:23,1,30.69,49800,32.42,31870,6.1,97.5,7.1,0.33,16.67,2.59,6.436293436,,,,,,,
PBR,6/13/2024,11:23,1,30.69,49800,32.42,31870,6.1,97.5,7.1,0.33,16.67,2.65,6.290566038,,,,,,,
PBR,6/13/2024,11:24,2,30.83,49490,32.19,31670,5.29,84.6,7.49,0.3,16.22,2.59,6.262548263,,,,,,,
PBR,6/13/2024,11:24,2,30.83,49490,32.19,31670,5.29,84.6,7.49,0.3,16.22,2.65,6.120754717,,,,,,,
PBR,6/13/2024,11:25,3,30.84,49520,32.22,31690,4.97,79.5,7.57,0.35,15.5,2.59,5.984555985,,,,,,,
PBR,6/13/2024,11:25,3,30.84,49520,32.22,31690,4.97,79.5,7.57,0.35,15.5,2.65,5.849056604,,,,,,,
PBR,6/13/2024,11:25,4,30.81,49870,32.47,31920,4.87,78,7.6,0.29,15.26,2.59,5.891891892,,,,,,,
PBR,6/13/2024,11:25,4,30.81,49870,32.47,31920,4.87,78,7.6,0.29,15.26,2.65,5.758490566,,,,,,,
MC,6/13/2024,12:02,1,28.71,4129,2.17,2642,7.41,97,6.52,0.36,21,3.6,5.833333333,,,,,,,
MC,6/13/2024,12:02,1,28.71,4129,2.17,2642,7.41,97,6.52,0.36,21,3.59,5.849582173,,,,,,,
MC,6/13/2024,12:02,2,28.72,4097,2.15,2622,6.28,82.2,6.63,0.3,21.41,3.6,5.947222222,,,,,,,
MC,6/13/2024,12:02,2,28.72,4097,2.15,2622,6.28,82.2,6.63,0.3,21.41,3.59,5.963788301,,,,,,,
MC,6/13/2024,12:03,3,28.79,3842,2.01,2459,5.93,77.7,6.67,0.3,20.11,3.6,5.586111111,,,,,,,
MC,6/13/2024,12:03,3,28.79,3842,2.01,2459,5.93,77.7,6.67,0.3,20.11,3.59,5.601671309,,,,,,,
MC,6/13/2024,12:03,4,28.73,4067,2.14,2602,5.5,72,6.69,0.36,21.95,3.6,6.097222222,,,,,,,
MC,6/13/2024,12:03,4,28.73,4067,2.14,2602,5.5,72,6.69,0.36,21.95,3.59,6.114206128,,,,,,,
KFR,6/18/2024,10:15,1,28.71,52360,34.37,33510,6.96,108.9,7.15,0.28,12.8,11.7,1.094017094,,,,,,,
KFR,6/18/2024,10:15,1,28.71,52360,34.37,33510,6.96,108.9,7.15,0.28,12.8,11.6,1.103448276,,,,,,,
KFR,6/18/2024,10:15,2,28.74,52420,34.42,33550,6.35,99.6,8.09,0.39,11.88,11.7,1.015384615,,,,,,,
KFR,6/18/2024,10:15,2,28.74,52420,34.42,33550,6.35,99.6,8.09,0.39,11.88,11.6,1.024137931,,,,,,,
KFR,6/18/2024,10:16,3,28.74,52450,34.44,33570,5.94,93,8.14,0.32,12,11.7,1.025641026,,,,,,,
KFR,6/18/2024,10:16,3,28.74,52450,34.44,33570,5.94,93,8.14,0.32,12,11.6,1.034482759,,,,,,,
KFR,6/18/2024,10:17,4,28.72,52410,34.41,33540,5.99,93.7,8.14,0.32,12.31,11.7,1.052136752,,,,,,,
KFR,6/18/2024,10:17,4,28.72,52410,34.41,33540,5.99,93.7,8.14,0.32,12.31,11.6,1.061206897,,,,,,,
PSR,6/18/2024,10:37,1,29.32,53750,35.38,34400,6.67,106.1,7.95,0.24,36.68,10.2,3.596078431,,,,,,,
PSR,6/18/2024,10:37,1,29.32,53750,35.38,34400,6.67,106.1,7.95,0.24,36.68,10.1,3.631683168,,,,,,,
PSR,6/18/2024,10:37,2,29.32,53670,35.32,34350,6.51,103.5,8.1,0.13,32.64,10.2,3.2,,,,,,,
PSR,6/18/2024,10:37,2,29.32,53670,35.32,34350,6.51,103.5,8.1,0.13,32.64,10.1,3.231683168,,,,,,,
PSR,6/18/2024,10:38,3,29.33,53850,35.46,34460,6.5,103.4,8.11,0.27,31.34,10.2,3.07254902,,,,,,,
PSR,6/18/2024,10:38,3,29.33,53850,35.46,34460,6.5,103.4,8.11,0.27,31.34,10.1,3.102970297,,,,,,,
PSR,6/18/2024,10:38,4,29.36,53960,35.54,34530,6.49,103.3,8.12,0.32,37.57,10.2,3.683333333,,,,,,,
PSR,6/18/2024,10:38,4,29.36,53960,35.54,34530,6.49,103.3,8.12,0.32,37.57,10.1,3.71980198,,,,,,,
SR64,6/18/2024,11:26,1,29.74,39100,24.77,25030,6.85,103.4,7.46,0.27,5.87,6.52,0.900306748,,,,,,,
SR64,6/18/2024,11:26,1,29.74,39100,24.77,25030,6.85,103.4,7.46,0.27,5.87,6.2,0.946774194,,,,,,,
SR64,6/18/2024,11:26,2,29.75,39190,24.83,25080,6.4,96.7,7.66,0.27,6.27,6.52,0.961656442,,,,,,,
SR64,6/18/2024,11:26,2,29.75,39190,24.83,25080,6.4,96.7,7.66,0.27,6.27,6.2,1.011290323,,,,,,,
SR64,6/18/2024,11:27,3,29.72,39110,24.78,25030,6.15,92.9,7.68,0.34,5.44,6.52,0.834355828,,,,,,,
SR64,6/18/2024,11:27,3,29.72,39110,24.78,25030,6.15,92.9,7.68,0.34,5.44,6.2,0.877419355,,,,,,,
SR64,6/18/2024,11:27,4,29.72,39090,24.77,25020,6.1,92.1,7.68,0.28,6.86,6.52,1.052147239,,,,,,,
SR64,6/18/2024,11:27,4,29.72,39090,24.77,25020,6.1,92.1,7.68,0.28,6.86,6.2,1.106451613,,,,,,,
365,6/25/2024,10:56,1,30.58,53640,35.26,34330,5.59,90.6,8.02,0.51,10.03,2.15,4.665116279,,,,,,,
365,6/25/2024,10:56,2,30.57,53510,35.16,34240,5.61,90.8,8.03,0.72,10.23,2.15,4.758139535,,,,,,,
365,6/25/2024,10:57,3,30.58,53500,35.16,34240,5.62,91.1,8.03,0.73,10.06,2.15,4.679069767,,,,,,,
365,6/25/2024,10:57,4,30.56,53530,35.18,34260,5.63,91.3,8.03,0.78,10,2.15,4.651162791,,,,,,,
336,6/25/2024,11:07,1,30.81,52030,34.06,33300,5.72,92.5,8.07,0.46,1.83,3.25,0.563076923,,,,,,,
336,6/25/2024,11:07,2,30.81,52130,34.13,33360,5.76,93.1,8.07,0.45,1,3.25,0.307692308,,,,,,,
336,6/25/2024,11:07,3,30.8,52610,34.49,33670,5.87,95.1,8.07,0.46,1.23,3.25,0.378461538,,,,,,,
336,6/25/2024,11:07,4,30.81,52250,34.22,33440,5.87,95,8.07,0.46,1.24,3.25,0.381538462,,,,,,,
421,6/25/2024,11:33,1,30.71,53690,35.29,34360,5.81,94.4,8.02,0.72,7.83,1.84,4.255434783,,,,,,,
421,6/25/2024,11:33,2,30.72,53810,35.38,34440,5.81,94.4,8.03,0.79,8.17,1.84,4.440217391,,,,,,,
421,6/25/2024,11:34,3,30.71,53810,35.38,34440,5.99,97.4,8.03,0.7,8.18,1.84,4.445652174,,,,,,,
421,6/25/2024,11:34,4,30.72,53840,35.4,34460,5.97,97.1,8.03,0.7,8.28,1.84,4.5,,,,,,,
428,6/25/2024,11:44,1,31.02,53470,35.12,34220,5.87,95.8,8.05,0.7,10.1,2.2,4.590909091,,,,,,,
428,6/25/2024,11:44,2,31.02,53680,35.27,34350,5.9,96.3,8.06,0.68,9.84,2.2,4.472727273,,,,,,,
428,6/25/2024,11:44,3,31.02,53920,35.45,34500,6.11,99.9,8.06,0.74,10.34,2.2,4.7,,,,,,,
428,6/25/2024,11:45,4,31.03,54070,35.56,34600,6.15,100.6,8.06,0.71,9.88,2.2,4.490909091,,,,,,,
449,6/25/2024,11:56,1,30.91,53980,35.5,34540,6.29,102.6,8.12,0.7,8.11,1.99,4.075376884,,,,,,,
449,6/25/2024,11:56,2,30.9,54150,35.62,34650,6.37,104,8.12,1.05,8.22,1.99,4.130653266,,,,,,,
449,6/25/2024,11:56,3,30.9,54100,35.58,34620,6.67,108.9,8.12,0.86,8.62,1.99,4.331658291,,,,,,,
449,6/25/2024,11:57,4,30.9,54200,35.66,34680,6.77,110.5,8.12,1.08,8.22,1.99,4.130653266,,,,,,,
464,6/25/2024,12:09,1,31.32,53620,35.22,34320,5.97,97.9,8.16,1.1,15.96,3.61,4.421052632,,,,,,,
464,6/25/2024,12:09,2,31.24,53610,35.21,34310,6.11,100,8.15,1.09,16.41,3.61,4.545706371,,,,,,,
464,6/25/2024,12:09,3,31.26,53590,35.2,34300,6.15,100.8,8.15,1.15,16.33,3.61,4.523545706,,,,,,,
464,6/25/2024,12:09,4,31.3,53620,35.22,34320,6.16,100.9,8.16,1.13,16.04,3.61,4.443213296,,,,,,,
590,6/25/2024,12:23,1,31.3,53150,34.87,34020,5.41,88.5,8,0.77,25.26,6.44,3.922360248,,,,,,,
590,6/25/2024,12:24,2,31.36,53170,34.88,34020,5.18,84.9,8.01,0.79,26.86,6.44,4.170807453,,,,,,,
590,6/25/2024,12:24,3,31.36,53240,34.93,34070,5.03,82.4,8.02,0.8,28.68,6.44,4.453416149,,,,,,,
590,6/25/2024,12:24,4,31.34,53230,34.93,34070,4.96,81.2,8.02,0.79,29.67,6.44,4.607142857,,,,,,,
590,6/25/2024,12:23,1,31.3,53150,34.87,34020,5.41,88.5,8,0.77,25.26,6.41,3.940717629,,,,,,,
590,6/25/2024,12:24,2,31.36,53170,34.88,34020,5.18,84.9,8.01,0.79,26.86,6.41,4.190327613,,,,,,,
590,6/25/2024,12:24,3,31.36,53240,34.93,34070,5.03,82.4,8.02,0.8,28.68,6.41,4.47425897,,,,,,,
590,6/25/2024,12:24,4,31.34,53230,34.93,34070,4.96,81.2,8.02,0.79,29.67,6.41,4.628705148,,,,,,,
590,6/25/2024,12:23,1,31.3,53150,34.87,34020,5.41,88.5,8,0.77,25.26,6.34,3.984227129,,,,,,,
590,6/25/2024,12:24,2,31.36,53170,34.88,34020,5.18,84.9,8.01,0.79,26.86,6.34,4.23659306,,,,,,,
590,6/25/2024,12:24,3,31.36,53240,34.93,34070,5.03,82.4,8.02,0.8,28.68,6.34,4.523659306,,,,,,,
590,6/25/2024,12:24,4,31.34,53230,34.93,34070,4.96,81.2,8.02,0.79,29.67,6.34,4.679810726,,,,,,,
659,6/25/2024,12:41,1,31.12,53890,35.43,34490,5.61,91.7,8.01,0.84,20.25,5.56,3.642086331,,,,,,,
659,6/25/2024,12:41,2,31.24,53960,35.47,34530,5.4,88.5,8,0.95,19.01,5.56,3.419064748,,,,,,,
659,6/25/2024,12:41,3,31.2,54000,35.5,34560,5.32,87.2,8.01,0.93,20.26,5.56,3.643884892,,,,,,,
659,6/25/2024,12:41,4,31.21,53950,35.47,34530,5.24,86,8.01,0.97,20.19,5.56,3.631294964,,,,,,,
598,6/25/2024,14:15,1,31.34,53620,35.21,34310,6.16,101.1,8.07,0.4,8.52,4.97,1.714285714,,,,,,,
598,6/25/2024,14:15,2,31.36,53520,35.14,34250,6.15,100.8,8.06,0.56,9.15,4.97,1.841046278,,,,,,,
598,6/25/2024,14:16,3,31.36,53480,35.11,34230,6.14,100.6,8.07,0.59,9.43,4.97,1.897384306,,,,,,,
598,6/25/2024,14:16,4,31.34,53400,35.05,34170,6.12,100.3,8.07,0.61,10.47,4.97,2.106639839,,,,,,,
676,6/25/2024,14:28,1,31.49,52140,34.11,33370,6.31,103.1,8.1,0.26,24.52,9.54,2.570230608,,,,,,,
676,6/25/2024,14:28,2,31.5,52210,34.16,33410,6.35,103.8,8.09,0.29,23.09,9.54,2.42033543,,,,,,,
676,6/25/2024,14:28,3,31.47,52170,34.14,33390,6.39,104.4,8.09,0.29,21.82,9.54,2.28721174,,,,,,,
676,6/25/2024,14:28,4,31.47,52240,34.19,33430,6.45,105.4,8.09,0.51,23.91,9.54,2.506289308,,,,,,,
597,6/25/2024,14:38,1,31.58,50120,32.63,32080,9.06,147.1,8.17,0.56,82.24,37.73,2.179697853,,,,,,,
597,6/25/2024,14:38,2,31.58,50050,32.58,32030,9.31,151,8.17,0.58,84.89,37.73,2.24993374,,,,,,,
597,6/25/2024,14:38,3,31.53,50140,32.65,32090,9.41,152.7,8.16,0.57,86,37.73,2.2793533,,,,,,,
597,6/25/2024,14:39,4,31.56,50070,32.59,32040,9.42,152.8,8.16,0.56,83.22,37.73,2.205671879,,,,,,,
456,6/25/2024,15:15,1,31.26,54340,35.75,34780,7.08,116.3,8.09,0.67,5.82,7.13,0.816269285,,,,,,,
456,6/25/2024,15:15,2,31.22,54320,35.74,34760,7.13,117,8.1,0.7,6.39,7.13,0.896213184,,,,,,,
456,6/25/2024,15:15,3,31.25,54330,35.74,34770,7.06,116,8.09,0.71,6.13,7.13,0.859747546,,,,,,,
456,6/25/2024,15:15,4,31.21,54390,35.79,34810,7.05,115.8,8.1,0.72,6.18,7.13,0.866760168,,,,,,,
435,6/25/2024,15:24,1,31.37,53840,35.38,34450,6.62,108.8,8.04,0.65,7.41,2.78,2.665467626,,,,,,,
435,6/25/2024,15:24,2,31.45,53780,35.33,34420,6.61,108.6,8.04,0.72,7.51,2.78,2.701438849,,,,,,,
435,6/25/2024,15:24,3,31.43,53800,35.35,34430,6.61,108.6,8.04,0.71,7.86,2.78,2.827338129,,,,,,,
435,6/25/2024,15:24,4,31.43,53750,35.31,34400,6.61,108.6,8.04,0.71,7.73,2.78,2.78057554,,,,,,,
434,6/25/2024,15:34,1,31.5,51040,33.3,32660,6.3,102.5,7.94,0.69,20.91,4.93,4.24137931,,,,,,,
434,6/25/2024,15:34,2,31.54,50930,33.23,32600,6.28,102.2,7.94,0.69,20.21,4.93,4.099391481,,,,,,,
434,6/25/2024,15:35,3,31.55,50950,33.24,32610,6.28,102.2,7.93,0.7,20.42,4.93,4.14198783,,,,,,,
434,6/25/2024,15:35,4,31.55,50820,33.14,32530,6.31,102.7,7.93,0.75,22.26,4.93,4.515212982,,,,,,,
532,6/25/2024,15:51,1,31.62,45760,29.46,29280,5.94,94.9,7.78,0.63,46.33,10.45,4.433492823,,,,,,,
532,6/25/2024,15:51,2,31.64,45680,29.4,29230,6.01,96,7.78,0.65,46.61,10.45,4.460287081,,,,,,,
532,6/25/2024,15:51,3,31.64,45840,29.51,29330,6.04,96.5,7.78,0.63,46.89,10.45,4.48708134,,,,,,,
532,6/25/2024,15:52,4,31.58,45910,29.57,29380,6.03,96.3,7.78,0.62,46.39,10.45,4.43923445,,,,,,,
532,6/25/2024,15:51,1,31.62,45760,29.46,29280,5.94,94.9,7.78,0.63,46.33,10.2,4.542156863,,,,,,,
532,6/25/2024,15:51,2,31.64,45680,29.4,29230,6.01,96,7.78,0.65,46.61,10.2,4.569607843,,,,,,,
532,6/25/2024,15:51,3,31.64,45840,29.51,29330,6.04,96.5,7.78,0.63,46.89,10.2,4.597058824,,,,,,,
532,6/25/2024,15:52,4,31.58,45910,29.57,29380,6.03,96.3,7.78,0.62,46.39,10.2,4.548039216,,,,,,,
532,6/25/2024,15:51,1,31.62,45760,29.46,29280,5.94,94.9,7.78,0.63,46.33,9.88,4.689271255,,,,,,,
532,6/25/2024,15:51,2,31.64,45680,29.4,29230,6.01,96,7.78,0.65,46.61,9.88,4.717611336,,,,,,,
532,6/25/2024,15:51,3,31.64,45840,29.51,29330,6.04,96.5,7.78,0.63,46.89,9.88,4.745951417,,,,,,,
532,6/25/2024,15:52,4,31.58,45910,29.57,29380,6.03,96.3,7.78,0.62,46.39,9.88,4.69534413,,,,,,,
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,8.94656,1.046212175,,,,,,,
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,8.94656,0.896433937,,,,,,,
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,8.94656,0.998149009,,,,,,,
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,8.94656,1.037270191,,,,,,,
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,8.94656,1.059625152,,,,,,,
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,8.94656,1.079744617,,,,,,,
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,8.3616,1.119402985,,,,,,,
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,8.3616,0.959146575,,,,,,,
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,8.3616,1.067977421,,,,,,,
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,8.3616,1.109835438,,,,,,,
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,8.3616,1.133754305,,,,,,,
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,8.3616,1.155281286,,,,,,,
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,9.17632,1.020016739,,,,,,,
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,9.17632,0.873988701,,,,,,,
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,9.17632,0.973156995,,,,,,,
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,9.17632,1.011298647,,,,,,,
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,9.17632,1.033093876,,,,,,,
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,9.17632,1.052709583,,,,,,,
FHR,7/2/2024,10:29,1,30.09,11900,6.74,7620,5.31,73,7.18,0.45,40.58,56.17408,0.722397234,,,,,,,
FHR,7/2/2024,10:29,2,30.11,11870,6.72,7601,5.27,72.4,7.18,0.45,39.57,56.17408,0.704417411,,,,,,,
FHR,7/2/2024,10:30,3,30.12,11890,6.73,7612,5.24,72.2,7.18,0.45,38.64,56.17408,0.687861733,,,,,,,
FHR,7/2/2024,10:30,4,30.12,11890,6.74,7615,5.24,72,7.18,0.45,37.21,56.17408,0.662405152,,,,,,,
FHR,7/2/2024,10:30,5,30.12,11900,6.74,7616,5.22,71.8,7.18,0.43,37.94,56.17408,0.675400469,,,,,,,
FHR,7/2/2024,10:30,6,30.12,11890,6.74,7615,5.21,71.7,7.18,0.45,39.56,56.17408,0.704239393,,,,,,,
FHR,7/2/2024,10:29,1,30.09,11900,6.74,7620,5.31,73,7.18,0.45,40.58,45.82912,0.885463216,,,,,,,
FHR,7/2/2024,10:29,2,30.11,11870,6.72,7601,5.27,72.4,7.18,0.45,39.57,45.82912,0.863424827,,,,,,,
FHR,7/2/2024,10:30,3,30.12,11890,6.73,7612,5.24,72.2,7.18,0.45,38.64,45.82912,0.843132052,,,,,,,
FHR,7/2/2024,10:30,4,30.12,11890,6.74,7615,5.24,72,7.18,0.45,37.21,45.82912,0.811929184,,,,,,,
FHR,7/2/2024,10:30,5,30.12,11900,6.74,7616,5.22,71.8,7.18,0.43,37.94,45.82912,0.827857921,,,,,,,
FHR,7/2/2024,10:30,6,30.12,11890,6.74,7615,5.21,71.7,7.18,0.45,39.56,45.82912,0.863206625,,,,,,,
FHR,7/2/2024,10:29,1,30.09,11900,6.74,7620,5.31,73,7.18,0.45,40.58,56.89152,0.713287323,,,,,,,
FHR,7/2/2024,10:29,2,30.11,11870,6.72,7601,5.27,72.4,7.18,0.45,39.57,56.89152,0.695534238,,,,,,,
FHR,7/2/2024,10:30,3,30.12,11890,6.73,7612,5.24,72.2,7.18,0.45,38.64,56.89152,0.679187338,,,,,,,
FHR,7/2/2024,10:30,4,30.12,11890,6.74,7615,5.24,72,7.18,0.45,37.21,56.89152,0.654051781,,,,,,,
FHR,7/2/2024,10:30,5,30.12,11900,6.74,7616,5.22,71.8,7.18,0.43,37.94,56.89152,0.666883219,,,,,,,
FHR,7/2/2024,10:30,6,30.12,11890,6.74,7615,5.21,71.7,7.18,0.45,39.56,56.89152,0.695358465,,,,,,,
