Station,Date,Time,Replicate,Temp(deg C),Conductivity_uS,Salinity_PSU,TDS(mg/L),HDO(mg/L),HDO %,pH,Depth,Field_Chl_a,Lab_Chl_a,correction
KFR,6/18/2024,10:15,1,28.71,52360,34.37,33510,6.96,108.9,7.15,0.28,12.8,11.7,1.094017094
KFR,6/18/2024,10:15,1,28.71,52360,34.37,33510,6.96,108.9,7.15,0.28,12.8,11.6,1.103448276
KFR,6/18/2024,10:15,2,28.74,52420,34.42,33550,6.35,99.6,8.09,0.39,11.88,11.7,1.015384615
KFR,6/18/2024,10:15,2,28.74,52420,34.42,33550,6.35,99.6,8.09,0.39,11.88,11.6,1.024137931
KFR,6/18/2024,10:16,3,28.74,52450,34.44,33570,5.94,93,8.14,0.32,12,11.7,1.025641026
KFR,6/18/2024,10:16,3,28.74,52450,34.44,33570,5.94,93,8.14,0.32,12,11.6,1.034482759
KFR,6/18/2024,10:17,4,28.72,52410,34.41,33540,5.99,93.7,8.14,0.32,12.31,11.7,1.052136752
KFR,6/18/2024,10:17,4,28.72,52410,34.41,33540,5.99,93.7,8.14,0.32,12.31,11.6,1.061206897
SR64,6/18/2024,11:26,1,29.74,39100,24.77,25030,6.85,103.4,7.46,0.27,5.87,6.52,0.900306748
SR64,6/18/2024,11:26,1,29.74,39100,24.77,25030,6.85,103.4,7.46,0.27,5.87,6.2,0.946774194
SR64,6/18/2024,11:26,2,29.75,39190,24.83,25080,6.4,96.7,7.66,0.27,6.27,6.52,0.961656442
SR64,6/18/2024,11:26,2,29.75,39190,24.83,25080,6.4,96.7,7.66,0.27,6.27,6.2,1.011290323
SR64,6/18/2024,11:27,3,29.72,39110,24.78,25030,6.15,92.9,7.68,0.34,5.44,6.52,0.834355828
SR64,6/18/2024,11:27,3,29.72,39110,24.78,25030,6.15,92.9,7.68,0.34,5.44,6.2,0.877419355
SR64,6/18/2024,11:27,4,29.72,39090,24.77,25020,6.1,92.1,7.68,0.28,6.86,6.52,1.052147239
SR64,6/18/2024,11:27,4,29.72,39090,24.77,25020,6.1,92.1,7.68,0.28,6.86,6.2,1.106451613
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,8.94656,1.046212175
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,8.94656,0.896433937
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,8.94656,0.998149009
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,8.94656,1.037270191
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,8.94656,1.059625152
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,8.94656,1.079744617
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,8.3616,1.119402985
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,8.3616,0.959146575
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,8.3616,1.067977421
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,8.3616,1.109835438
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,8.3616,1.133754305
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,8.3616,1.155281286
SR64,7/2/2024,9:52,1,31.24,37990,23.95,24310,4.46,68.7,7.45,0.46,9.36,9.17632,1.020016739
SR64,7/2/2024,9:52,2,31.28,37860,23.86,24230,4.4,67.8,7.45,0.43,8.02,9.17632,0.873988701
SR64,7/2/2024,9:52,3,31.29,37840,23.84,24220,4.34,66.9,7.45,0.45,8.93,9.17632,0.973156995
SR64,7/2/2024,9:53,4,31.29,37920,23.9,24270,4.35,67.1,7.46,0.46,9.28,9.17632,1.011298647
SR64,7/2/2024,9:53,5,31.33,37880,23.87,24240,4.36,67.3,7.46,0.44,9.48,9.17632,1.033093876
SR64,7/2/2024,9:53,6,31.33,37920,23.9,24260,4.37,67.4,7.47,0.43,9.66,9.17632,1.052709583
KFR,7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,7.9456,1.418395087
KFR,7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,7.9456,1.36050141
KFR,7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,7.9456,1.378121224
KFR,7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,7.9456,1.571939186
KFR,7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,7.9456,1.480064438
KFR,7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,7.9456,1.519079742
KFR,7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,6.77632,1.663144598
KFR,7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,6.77632,1.595261145
KFR,7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,6.77632,1.615921326
KFR,7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,6.77632,1.843183321
KFR,7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,6.77632,1.735455232
KFR,7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,6.77632,1.781202777
KFR,7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,6.59968,1.707658553
KFR,7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,6.59968,1.637958204
KFR,7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,6.59968,1.659171354
KFR,7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,6.59968,1.892516001
KFR,7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,6.59968,1.781904577
KFR,7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,6.59968,1.828876552
FHR,7/9/2024,13:06,1,31.27,1278,0.63,817.9,6.28,85.3,8.08,0.43,27.23,11.904,2.287466398
FHR,7/9/2024,13:07,2,31.24,1277,0.63,817.4,5.4,73.2,7.63,0.42,27.13,11.904,2.27906586
FHR,7/9/2024,13:07,3,31.26,1291,0.63,826.2,4.9,66.4,7.51,0.43,27.23,11.904,2.287466398
FHR,7/9/2024,13:07,4,31.27,1293,0.63,827.9,4.87,66.1,7.46,0.43,26.77,11.904,2.248823925
FHR,7/9/2024,13:07,5,31.26,1286,0.63,823.3,4.72,64.1,7.4,0.45,26.96,11.904,2.264784946
FHR,7/9/2024,13:08,6,31.26,1286,0.63,823.2,4.61,62.5,7.36,0.44,27.94,11.904,2.347110215
FHR,7/9/2024,13:06,1,31.27,1278,0.63,817.9,6.28,85.3,8.08,0.43,27.23,11.10464,2.452128119
FHR,7/9/2024,13:07,2,31.24,1277,0.63,817.4,5.4,73.2,7.63,0.42,27.13,11.10464,2.443122875
FHR,7/9/2024,13:07,3,31.26,1291,0.63,826.2,4.9,66.4,7.51,0.43,27.23,11.10464,2.452128119
FHR,7/9/2024,13:07,4,31.27,1293,0.63,827.9,4.87,66.1,7.46,0.43,26.77,11.10464,2.410703994
FHR,7/9/2024,13:07,5,31.26,1286,0.63,823.3,4.72,64.1,7.4,0.45,26.96,11.10464,2.427813959
FHR,7/9/2024,13:08,6,31.26,1286,0.63,823.2,4.61,62.5,7.36,0.44,27.94,11.10464,2.516065356
FHR,7/9/2024,13:06,1,31.27,1278,0.63,817.9,6.28,85.3,8.08,0.43,27.23,10.32704,2.636767167
FHR,7/9/2024,13:07,2,31.24,1277,0.63,817.4,5.4,73.2,7.63,0.42,27.13,10.32704,2.62708385
FHR,7/9/2024,13:07,3,31.26,1291,0.63,826.2,4.9,66.4,7.51,0.43,27.23,10.32704,2.636767167
FHR,7/9/2024,13:07,4,31.27,1293,0.63,827.9,4.87,66.1,7.46,0.43,26.77,10.32704,2.592223909
FHR,7/9/2024,13:07,5,31.26,1286,0.63,823.3,4.72,64.1,7.4,0.45,26.96,10.32704,2.610622211
FHR,7/9/2024,13:08,6,31.26,1286,0.63,823.2,4.61,62.5,7.36,0.44,27.94,10.32704,2.705518716
SR64,7/9/2024,13:38,1,32.75,24290,14.6,15550,6.8,102,7.7,0.47,20.94,15.91552,1.31569688
SR64,7/9/2024,13:38,2,32.77,24290,14.59,15540,6.71,100.7,7.64,0.47,20.27,15.91552,1.273599606
SR64,7/9/2024,13:39,3,32.77,24290,14.6,15550,6.66,99.9,7.62,0.48,21.35,15.91552,1.341457898
SR64,7/9/2024,13:39,4,32.78,24290,14.6,15550,6.52,97.8,7.6,0.43,21.54,15.91552,1.353395931
SR64,7/9/2024,13:40,5,32.78,24260,14.57,15520,6.47,97.2,7.6,0.46,20.78,15.91552,1.305643799
SR64,7/9/2024,13:40,6,32.77,24340,14.62,15570,6.42,96.4,7.59,0.46,20.71,15.91552,1.301245577
SR64,7/9/2024,13:38,1,32.75,24290,14.6,15550,6.8,102,7.7,0.47,20.94,14.39616,1.454554548
SR64,7/9/2024,13:38,2,32.77,24290,14.59,15540,6.71,100.7,7.64,0.47,20.27,14.39616,1.408014359
SR64,7/9/2024,13:39,3,32.77,24290,14.6,15550,6.66,99.9,7.62,0.48,21.35,14.39616,1.483034365
SR64,7/9/2024,13:39,4,32.78,24290,14.6,15550,6.52,97.8,7.6,0.43,21.54,14.39616,1.496232329
SR64,7/9/2024,13:40,5,32.78,24260,14.57,15520,6.47,97.2,7.6,0.46,20.78,14.39616,1.443440473
SR64,7/9/2024,13:40,6,32.77,24340,14.62,15570,6.42,96.4,7.59,0.46,20.71,14.39616,1.438578065
SR64,7/9/2024,13:38,1,32.75,24290,14.6,15550,6.8,102,7.7,0.47,20.94,19.0592,1.098682001
SR64,7/9/2024,13:38,2,32.77,24290,14.59,15540,6.71,100.7,7.64,0.47,20.27,19.0592,1.063528375
SR64,7/9/2024,13:39,3,32.77,24290,14.6,15550,6.66,99.9,7.62,0.48,21.35,19.0592,1.120193922
SR64,7/9/2024,13:39,4,32.78,24290,14.6,15550,6.52,97.8,7.6,0.43,21.54,19.0592,1.130162861
SR64,7/9/2024,13:40,5,32.78,24260,14.57,15520,6.47,97.2,7.6,0.46,20.78,19.0592,1.090287105
SR64,7/9/2024,13:40,6,32.77,24340,14.62,15570,6.42,96.4,7.59,0.46,20.71,19.0592,1.086614338
MC,7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,22.20992,1.099058439
MC,7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,22.20992,1.210720255
MC,7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,22.20992,1.061237501
MC,7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,22.20992,1.21972524
MC,7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,22.20992,1.176051062
MC,7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,22.20992,0.939670201
MC,7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,21.63392,1.128320711
MC,7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,21.63392,1.242955507
MC,7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,21.63392,1.089492796
MC,7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,21.63392,1.252200248
MC,7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,21.63392,1.207363252
MC,7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,21.63392,0.964688785
MC,7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,20.11584,1.213471573
MC,7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,20.11584,1.336757501
MC,7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,20.11584,1.171713436
MC,7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,20.11584,1.346699914
MC,7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,20.11584,1.298479208
MC,7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,20.11584,1.037490853
PBR,7/10/2024,10:35,1,31.88,30890,19.03,19770,6.96,105.4,7.71,0.46,16.88,19.95712,0.845813424
PBR,7/10/2024,10:36,2,31.9,30980,19.09,19820,6.83,103.5,7.71,0.45,18.93,19.95712,0.948533656
PBR,7/10/2024,10:36,3,31.94,30890,19.03,19770,6.77,102.7,7.7,0.45,17.79,19.95712,0.891411186
PBR,7/10/2024,10:36,4,31.93,30980,19.09,19830,6.7,101.6,7.7,0.44,18.56,19.95712,0.929993907
PBR,7/10/2024,10:35,1,31.88,30890,19.03,19770,6.96,105.4,7.71,0.46,16.88,13.56864,1.244045092
PBR,7/10/2024,10:36,2,31.9,30980,19.09,19820,6.83,103.5,7.71,0.45,18.93,13.56864,1.395128768
PBR,7/10/2024,10:36,3,31.94,30890,19.03,19770,6.77,102.7,7.7,0.45,17.79,13.56864,1.311111504
PBR,7/10/2024,10:36,4,31.93,30980,19.09,19830,6.7,101.6,7.7,0.44,18.56,13.56864,1.367860007
PFP,7/10/2024,10:48,1,32.26,29770,18.26,19050,7.15,108.5,7.81,0.42,20.53,20.11904,1.020426422
PFP,7/10/2024,10:48,2,32.28,29900,18.35,19130,7.04,106.9,7.81,0.43,22.96,20.11904,1.141207533
PFP,7/10/2024,10:48,3,32.29,29850,18.32,19100,7.01,106.5,7.81,0.43,22.31,20.11904,1.108899828
PFP,7/10/2024,10:49,4,32.28,29790,18.28,19070,7.01,106.5,7.8,0.43,20.49,20.11904,1.018438256
PFP,7/10/2024,10:48,1,32.26,29770,18.26,19050,7.15,108.5,7.81,0.42,20.53,17.10016,1.200573562
PFP,7/10/2024,10:48,2,32.28,29900,18.35,19130,7.04,106.9,7.81,0.43,22.96,17.10016,1.342677495
PFP,7/10/2024,10:48,3,32.29,29850,18.32,19100,7.01,106.5,7.81,0.43,22.31,17.10016,1.304666155
PFP,7/10/2024,10:49,4,32.28,29790,18.28,19070,7.01,106.5,7.8,0.43,20.49,17.10016,1.198234402
SR64,7/10/2024,11:17,1,31.87,21320,12.67,13640,6.39,93.6,7.62,0.45,18.32,12.064,1.518567639
SR64,7/10/2024,11:17,2,31.91,21530,12.81,13780,5.91,86.6,7.52,0.45,19.32,12.064,1.601458886
SR64,7/10/2024,11:17,3,31.91,21530,12.81,13780,5.74,84.2,7.48,0.45,16.51,12.064,1.368534483
SR64,7/10/2024,11:17,4,31.9,21610,12.86,13830,5.69,83.5,7.45,0.45,16.47,12.064,1.365218833
SR64,7/10/2024,11:17,1,31.87,21320,12.67,13640,6.39,93.6,7.62,0.45,18.32,11.53408,1.588336478
SR64,7/10/2024,11:17,2,31.91,21530,12.81,13780,5.91,86.6,7.52,0.45,19.32,11.53408,1.675036067
SR64,7/10/2024,11:17,3,31.91,21530,12.81,13780,5.74,84.2,7.48,0.45,16.51,11.53408,1.431410221
SR64,7/10/2024,11:17,4,31.9,21610,12.86,13830,5.69,83.5,7.45,0.45,16.47,11.53408,1.427942237
